,Column1,NAME,NUMBER OF COURSES,companyname,coursetype,URL2,Column5
187,252,Drug Development Product Management,3.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/drug-development-product-management,
188,594,Правовые основы и базы данных в ядерной отрасли,5.0,National Research Nuclear University MEPhI,SPECIALIZATION,https://www.coursera.org/specializations/nuclear-legal-framework-and-databases,
189,239,Dynamic Public Speaking,4.0,University of Washington,SPECIALIZATION,https://www.coursera.org/specializations/public-speaking,
190,533,Effective Communication in the Globalised Workplace,5.0,National University of Singapore,SPECIALIZATION,https://www.coursera.org/specializations/effective-communication,
191,179,"Effective Communication: Writing, Design, and Presentation",4.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/effective-business-communication,
192,381,Effective Professional Communication,5.0,National Research Tomsk State University,SPECIALIZATION,https://www.coursera.org/specializations/effective-professional-communication,
193,481,El Músico Moderno,4.0,Berklee College of Music,SPECIALIZATION,https://www.coursera.org/specializations/musico-moderno,
194,581,Electrodynamics,4.0,Korea Advanced Institute of Science and Technology(KAIST),SPECIALIZATION,https://www.coursera.org/specializations/electrodynamics,
195,164,Electronic Music Production,4.0,Berklee College of Music,SPECIALIZATION,https://www.coursera.org/specializations/electronic-music-production,
196,505,ELL Success in the Content Classroom: Teacher Toolbox Series,4.0,Arizona State University,SPECIALIZATION,https://www.coursera.org/specializations/ell-teaching,
197,383,E-Marketing,3.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/emarketing,
198,523,Embedded Interface Design,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/embedded-interface-design,
199,284,Embedding Sensors and Motors,4.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/embedding-sensors-motors,
200,499,Emerging Technologies: From Smartphones to IoT to Big Data,4.0,Yonsei University,SPECIALIZATION,https://www.coursera.org/specializations/emerging-technologies,
201,293,"Energy Production, Distribution & Safety",4.0,University at Buffalo,SPECIALIZATION,https://www.coursera.org/specializations/energy-industry,
202,218,Engineering Project Management,3.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/engineering-project-management,
203,364,English for Research Publication Purposes,4.0,Moscow Institute of Physics and Technology,SPECIALIZATION,https://www.coursera.org/specializations/english-for-research-publication-purposes,
204,606,English Language Skills A2-B1 CEFR: Low-Intermediate,7.0,Voxy,SPECIALIZATION,https://www.coursera.org/specializations/english-a2-b1-low-intermediate,
205,215,Entrepreneurial Finance: Strategy and Innovation,4.0,Duke University,SPECIALIZATION,https://www.coursera.org/specializations/entrepreneurial-finance,
206,70,Entrepreneurship,5.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/wharton-entrepreneurship,
207,137,Entrepreneurship: Growing Your Business,4.0,University of Virginia,SPECIALIZATION,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,
208,406,Entrepreneurship: Launching an Innovative Business,4.0,"University of Maryland, College Park",SPECIALIZATION,https://www.coursera.org/specializations/business-entrepreneurship,
